route_id,n_pairs,median_m,q25_m,q75_m,basis,pairs_under_150m,pairs_under_200m,pairs_under_300m,pairs_under_400m
075,97,269.6000000000005,223.3999999999998,357.6999999999995,shape_dist_traveled,3,13,56,83
006,95,270.2999999999998,222.29999999999973,347.1500000000001,shape_dist_traveled,2,13,56,77
002,375,280.0999999999991,229.04999999999976,347.00000000000045,shape_dist_traveled,8,50,209,326
010,670,288.89999999999816,232.22500000000056,400.0499999999989,shape_dist_traveled,28,76,358,502
011,183,300.19999999999845,233.900000000002,389.99999999999875,shape_dist_traveled,2,20,91,141
005,418,306.2000000000005,229.65000000000123,446.57500000000084,shape_dist_traveled,12,50,197,291
001,354,307.99999999999983,237.5000000000007,406.8499999999992,shape_dist_traveled,4,32,159,260
008,406,308.2500000000001,232.6500000000009,389.27500000000134,shape_dist_traveled,5,41,196,323
012,48,314.4000000000001,211.8999999999994,402.774999999999,shape_dist_traveled,6,11,23,36
003,191,321.3000000000008,236.95000000000022,397.7499999999985,shape_dist_traveled,7,27,87,145
007,349,324.19999999999936,240.40000000000018,425.80000000000064,shape_dist_traveled,5,37,155,237
004,268,326.4000000000002,241.17499999999924,414.77499999999964,shape_dist_traveled,5,24,113,192
046,18,332.70000000000044,286.1750000000005,438.0250000000001,shape_dist_traveled,0,0,7,12
023,111,338.6000000000001,263.6000000000005,446.54999999999933,shape_dist_traveled,3,10,42,71
009,220,341.25000000000136,255.10000000000008,438.5499999999984,shape_dist_traveled,2,18,89,148
051,20,346.3499999999992,258.34999999999997,465.5000000000025,shape_dist_traveled,1,2,7,13
022,292,347.50000000000017,275.90000000000003,479.6249999999996,shape_dist_traveled,4,19,95,185
031,128,350.8500000000008,250.77499999999998,430.5249999999998,shape_dist_traveled,2,15,46,84
032,140,355.3999999999995,277.2000000000005,511.9000000000002,shape_dist_traveled,4,14,48,79
033,179,355.8000000000021,277.74999999999926,503.0000000000001,shape_dist_traveled,9,13,65,114
041,19,357.5,275.15,455.79999999999995,shape_dist_traveled,0,0,7,11
044,17,357.5,265.59999999999917,549.8,shape_dist_traveled,1,1,6,10
034,94,364.34999999999906,282.0249999999982,444.3250000000005,shape_dist_traveled,3,8,30,58
141,13,369.7000000000017,308.20000000000005,8905.199999999999,shape_dist_traveled,0,1,3,7
042,59,388.5999999999994,283.2499999999987,435.8500000000007,shape_dist_traveled,0,1,17,33
102,115,397.69999999999686,276.9000000000012,685.9999999999995,shape_dist_traveled,3,6,34,59
074,69,398.9000000000011,318.7999999999995,659.5999999999975,shape_dist_traveled,1,3,13,36
072,68,399.00000000000057,336.47500000000076,569.1750000000002,shape_dist_traveled,1,1,13,35
052,13,399.1000000000007,246.2,544.8,shape_dist_traveled,0,1,4,7
045,30,406.0,270.37500000000136,775.3000000000002,shape_dist_traveled,0,0,10,14
073,59,421.79999999999995,284.4500000000001,625.7999999999997,shape_dist_traveled,2,7,17,29
035,60,421.9000000000004,322.55000000000143,496.87499999999966,shape_dist_traveled,2,4,10,27
061,16,428.1999999999995,331.575,712.699999999999,shape_dist_traveled,0,0,2,8
025,130,430.65000000000174,341.1999999999979,597.3500000000004,shape_dist_traveled,1,5,18,57
043,83,434.89999999999895,313.49999999999943,504.20000000000084,shape_dist_traveled,0,2,18,35
024,129,462.80000000000143,332.9000000000022,640.2,shape_dist_traveled,3,9,26,51
021,119,468.9999999999976,334.7,587.6499999999996,shape_dist_traveled,0,3,20,46
071,39,509.4999999999992,377.8000000000006,619.6499999999999,shape_dist_traveled,3,4,7,12
101,140,576.2,394.8749999999999,805.1999999999992,shape_dist_traveled,0,4,14,35
