candidate,class,unserved_vs_noedit_pct_lam2.0,gc_vs_noedit_pct_lam2.0,margin_pts,modelled_share_pct
splice|033|034|WESHIGW,beneficial,-0.9363288256530876,0.1366605132739895,0.6483871387418879,0.0
splice|011|034|WESHIGW,beneficial,-0.8596646852271683,0.2684372987918682,0.5717229983159686,0.0
splice|005|006|NMURBEAN,beneficial,-0.6837156063005057,0.2099750998195038,0.39577391938930595,0.6410256410256411
splice|011|033|WESHIGW,beneficial,-0.615028203515422,0.1771627355424465,0.3270865166042223,0.7194244604316546
splice|001|021|PICBETS,beneficial,-0.5120570150487058,-0.1751304584907353,0.22411532813750612,0.6172839506172839
splice|008|035|BOASHAN,beneficial,-0.4903837954904566,-0.012178268658658,0.20244210857925687,0.7299270072992701
splice|005|021|NMURBEAN,beneficial,-0.3532772140325657,-0.0313138025291093,0.06533552712136598,0.5988023952095808
splice|006|021|NMURBEAN,noise-floor,-0.2474234394532093,-0.1016833389666627,-0.0405182474579904,0.970873786407767
splice|002|011|HIGFITN,noise-floor,-0.1553517924544611,-0.1873394303994247,-0.1325898944567386,1.0471204188481675
splice|002|034|WESHIGW,noise-floor,-0.0884870461827502,-0.2111915136367992,-0.19945464072844948,0.0
splice|002|033|WESHIGW,harmful,0.97799974762256,-0.8217095232562643,0.6900580607113603,0.684931506849315
splice|007|101|EMO4THW,harmful,1.2511973397224765,-1.0419031409632629,0.9632556528112768,0.0
