state_key,state_digest,cardinality,members,lambda,seed,effort,seconds,objective,generalized_cost,unserved_demand,served_demand,gc_per_served_trip,revenue_veh_hours,evidence_class,modelled_share_pct,network_edit_distance_pct,waiting_model,peak_fleet_check,peak_concurrency,role
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260825,60000/2/32,408.54,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep0
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260826,60000/2/32,417.25,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep1
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260827,60000/2/32,408.63,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep2
add_stop-001#dc6e768a1ae6,a7e505e2fcee280f37e5af30c1ba12b52fe7ee11f143ff7ffeda6c2f026c121c,1,add_stop-001#dc6e768a1ae6,2.0,20260825,60000/2/32,413.61,2956159.724700664,1786600.0202393453,9746.330870510992,21202.66912948901,84.26297695484543,2515.657709564801,secondary,2.1858,0.034,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.22525384694265,add_stop-001#dc6e768a1ae6
add_stop-004#27407b151153,5c61fec1536af4ba1ce436f670961ce0f2af84edc794075e57cd6d4e04f30535,1,add_stop-004#27407b151153,2.0,20260825,60000/2/32,413.44,2955607.448264979,1786282.8694034517,9744.371490512727,21204.628509487276,84.24023408871517,2515.2189846679407,secondary,2.214,0.05,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.20702607002173,add_stop-004#27407b151153
add_stop-007#02161399a599,bde092575bb707b94bed9d15435e5bf0dbf68e333b4d20907c3474c3b7507114,1,add_stop-007#02161399a599,2.0,20260825,60000/2/32,416.75,2955344.0555114225,1786691.8065294323,9738.768741516587,21210.23125848342,84.23726194945715,2511.642641366615,secondary,3.3803,0.101,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.007891528729,add_stop-007#02161399a599
add_stop-010#22c4c35ac5b2,bad2ed9cbe5026a7c68c9e4609c7101b1c5d3123d5732636db0ef057d66e7a7d,1,add_stop-010#22c4c35ac5b2,2.0,20260825,60000/2/32,412.1,2950538.0418019183,1784617.903256458,9716.001154545502,21232.998845454502,84.0492629536644,2515.6695578552644,secondary,2.3599,0.135,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.36325546467106,add_stop-010#22c4c35ac5b2
