cell,model,lambda,seed,iterations,restarts,width,seconds,own_gc_change_pct,own_unserved_change_pct,scored_gc_change_pct,scored_unserved_change_pct,scored_served_change_pct,veh_hours,within_budget,exchanges
m=C|lam=1.0|seed=20260825|eff=150000/5/48,C,1.0,20260825,150000,5,48,336.92284631729126,-2.0169491997445443,-1.0134533693222925,-2.0169491997445443,-1.0134533693222925,0.5499023353744414,2497.872127311343,True,65
m=C|lam=2.0|seed=20260825|eff=150000/5/48,C,2.0,20260825,150000,5,48,357.7167057991028,0.4899796009918411,-6.326595569265514,0.4899796009918411,-6.326595569265514,3.4328265945134717,2509.669288943682,True,31
m=C|lam=0.5|seed=20260825|eff=150000/5/48,C,0.5,20260825,150000,5,48,261.74649000167847,-5.296279305401763,12.01027061501172,-5.296279305401763,12.01027061501172,-6.516802903414076,2505.1726527343603,True,49
m=C|lam=4.0|seed=20260825|eff=150000/5/48,C,4.0,20260825,150000,5,48,342.6244971752167,0.9501464344379817,-6.950335589124446,0.9501464344379817,-6.950335589124446,3.7712694908218936,2516.50999655353,True,43
m=C|lam=8.0|seed=20260825|eff=150000/5/48,C,8.0,20260825,150000,5,48,263.0386312007904,0.9860578148935373,-6.882828902978854,0.9860578148935373,-6.882828902978854,3.7346401939163165,2513.0726801272394,True,104
m=C|lam=0.25|seed=20260825|eff=150000/5/48,C,0.25,20260825,150000,5,48,241.69412636756897,-6.253751369982741,17.567160729322495,-6.253751369982741,17.567160729322495,-9.531985391111753,2510.289185008447,True,36
m=C|lam=16.0|seed=20260825|eff=150000/5/48,C,16.0,20260825,150000,5,48,283.0902519226074,1.1112043529271975,-6.954202591609048,1.1112043529271975,-6.954202591609048,3.7733677360510587,2512.205364503878,True,92
m=B|lam=1.0|seed=20260825|eff=150000/5/48,B,1.0,20260825,150000,5,48,88.99430513381958,-1.8160293441537911,-1.2456731429566381,-1.8086112778531005,-1.2456731429566381,0.6759053659105785,2502.6229401839605,True,45
m=B|lam=2.0|seed=20260825|eff=150000/5/48,B,2.0,20260825,150000,5,48,94.3945209980011,0.5169399529520113,-6.359049924919047,0.5198231870813474,-6.359049924919047,3.4504364091405337,2507.9870931261785,True,34
m=B|lam=0.5|seed=20260825|eff=150000/5/48,B,0.5,20260825,150000,5,48,73.83319211006165,-5.216048820268693,11.846515171314653,-5.209154930553583,11.846515171314653,-6.427948789702354,2504.7276933617222,True,44
m=B|lam=4.0|seed=20260825|eff=150000/5/48,B,4.0,20260825,150000,5,48,81.0658540725708,0.9950414457463808,-6.854917721718445,0.9977723410124151,-6.854917721718445,3.719495517088789,2513.7525983233354,True,57
m=B|lam=8.0|seed=20260825|eff=150000/5/48,B,8.0,20260825,150000,5,48,71.00184202194214,0.9833352189757116,-6.882828902978854,0.9860578148935373,-6.882828902978854,3.7346401939163165,2513.0726801272394,True,104
m=B|lam=0.25|seed=20260825|eff=150000/5/48,B,0.25,20260825,150000,5,48,86.79561567306519,-6.2566174967424,17.424551283806178,-6.250334993294693,17.424551283806178,-9.454605148951888,2510.511286332244,True,32
m=B|lam=16.0|seed=20260825|eff=150000/5/48,B,16.0,20260825,150000,5,48,76.22931671142578,1.1086105827577075,-6.954202591609048,1.1112043529271975,-6.954202591609048,3.7733677360510587,2512.205364503878,True,92
m=A|lam=1.0|seed=20260825|eff=150000/5/48,A,1.0,20260825,150000,5,48,94.6631338596344,-1.9816975656254066,-1.160503546856262,-1.9747327074799315,-1.160503546856262,0.6296921298444502,2476.6235862058224,True,56
m=A|lam=2.0|seed=20260825|eff=150000/5/48,A,2.0,20260825,150000,5,48,107.41494178771973,1.6535853611818752,-8.49342027985518,1.6518005771289035,-8.49342027985518,4.6085511071244145,2486.764341522724,True,65
m=A|lam=0.5|seed=20260825|eff=150000/5/48,A,0.5,20260825,150000,5,48,87.24103093147278,-5.717919344155609,13.273513215572997,-5.710421631133689,13.273513215572997,-7.202241501006091,2490.6734979724556,True,57
m=A|lam=4.0|seed=20260825|eff=150000/5/48,A,4.0,20260825,150000,5,48,86.56923270225525,2.5693826368855532,-9.52172576521717,2.5675817737108364,-9.52172576521717,5.166512237844301,2485.963434480547,True,37
m=A|lam=8.0|seed=20260825|eff=150000/5/48,A,8.0,20260825,150000,5,48,119.53865265846252,3.0319544819527033,-9.914460162068261,3.030145497167225,-9.914460162068261,5.379610904786092,2489.946731460931,True,92
m=A|lam=0.25|seed=20260825|eff=150000/5/48,A,0.25,20260825,150000,5,48,79.56076526641846,-6.07461424603859,17.133940115023805,-6.070594490604508,17.133940115023805,-9.296918801225596,2487.0792072076647,True,78
m=A|lam=16.0|seed=20260825|eff=150000/5/48,A,16.0,20260825,150000,5,48,113.4112503528595,3.154071946438841,-9.966481102644732,3.152260817574515,-9.966481102644732,5.407837597377307,2480.7345633010245,True,92
m=R|lam=1.0|seed=20260825|eff=150000/5/48,R,1.0,20260825,150000,5,48,5.213524103164673,-1.5385370681570754,-14.048814142499255,2.3852462103834737,-6.072712036521688,3.2950687540493018,2459.2839847855194,True,110
m=R|lam=2.0|seed=20260825|eff=150000/5/48,R,2.0,20260825,150000,5,48,4.500904083251953,-1.0146946137417179,-21.04759500214274,2.501931439817451,-6.996545388290809,3.796343043535755,2481.4010989459753,True,30
m=R|lam=0.5|seed=20260825|eff=150000/5/48,R,0.5,20260825,150000,5,48,4.29987645149231,-2.383707960666437,3.061407237724789,1.6695565890437525,-3.079145766021407,1.6707522012836762,2437.4913297568137,True,36
m=R|lam=4.0|seed=20260825|eff=150000/5/48,R,4.0,20260825,150000,5,48,4.218181133270264,-0.7574408002074651,-22.710826683254204,2.5122684583172905,-7.159171020565413,3.8845841187411967,2470.7605933159516,True,18
m=R|lam=8.0|seed=20260825|eff=150000/5/48,R,8.0,20260825,150000,5,48,4.517861366271973,-0.27118439913959014,-24.740767588284072,2.4257920179181935,-7.501887709937794,4.070543052385767,2481.04992712749,True,210
m=R|lam=0.25|seed=20260825|eff=150000/5/48,R,0.25,20260825,150000,5,48,3.003382921218872,-5.009625964905573,69.00160603681047,-0.5805871694733789,8.407006796741467,-4.561662934850796,2417.221869872071,True,67
m=R|lam=16.0|seed=20260825|eff=150000/5/48,R,16.0,20260825,150000,5,48,4.22531270980835,-0.11661382985790336,-25.645750462348015,2.359870559077759,-7.802512432624198,4.233662779529301,2498.976384354636,True,99
