period,od_index,flow,route,n_same_route_patterns,n_other_routes,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving,saving_same_route_min,flow_weighted_saving_same_route,saving_cross_route_only_min,flow_weighted_saving_cross_route
am_peak,93,0.10305481349185328,012,1,1,2,25.714285714285715,13.846153846153847,9.428571428571429,6.461538461538462,5.934065934065934,0.6115340580835249,0.0,0.0,5.934065934065934,0.6115340580835249
am_peak,98,0.10305481349185328,007,2,1,3,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,115,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,116,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,133,0.20610962698370655,021,1,1,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,1.9272588497177758,0.0,0.0,9.350649350649352,1.9272588497177758
am_peak,140,0.3606918472214865,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.5410377708322298,0.0,0.0,1.5,0.5410377708322298
am_peak,158,0.30916444047555985,007,2,2,4,15.0,10.0,6.75,5.0,3.5,1.0820755416644594,0.0,0.0,3.5,1.0820755416644594
am_peak,202,0.15458222023777993,021,1,1,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,1.445444137288332,0.0,0.0,9.350649350649352,1.445444137288332
am_peak,203,0.10305481349185328,021,1,1,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,0.9636294248588879,0.0,0.0,9.350649350649352,0.9636294248588879
am_peak,219,0.4122192539674131,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.6183288809511196,0.0,0.0,1.5,0.6183288809511196
am_peak,224,0.2576370337296332,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3864555505944498,0.0,0.0,1.5,0.3864555505944498
am_peak,225,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,229,0.20610962698370655,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598,0.0,0.0,1.5,0.3091644404755598
am_peak,230,2.885534777771892,034,1,1,2,15.0,12.0,6.75,6.0,1.5,4.3283021666578385,0.0,0.0,1.5,4.3283021666578385
am_peak,239,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,239,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,250,0.10305481349185328,008,1,1,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996,0.0,0.0,7.5,0.7729111011888996
am_peak,251,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,252,0.4122192539674131,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.6183288809511196,0.0,0.0,1.5,0.6183288809511196
am_peak,254,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,256,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,257,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,258,0.30916444047555985,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.4637466607133398,0.0,0.0,1.5,0.4637466607133398
