config,lambda,gc_change_pct,unserved_change_pct,gc_per_trip_change_pct,served_change_pct,revenue_veh_hours,vh_vs_budget_pct,on_pareto_front
A path,0.5,-0.7084204920927428,0.5245726283054974,-0.4673275207324634,-0.24222495523819054,2509.566654022438,-0.3025873884525243,True
A path,1.0,0.024623665620970847,-4.536507091450826,-2.027664374405891,2.0947627990311357,2488.4780110887905,-1.1403747142457954,True
A path,2.0,1.8631846442870748,-8.780882488617825,-2.1060544177844975,4.054631814526322,2470.6839303302163,-1.8472791547344714,True
B path+class,0.5,-0.5353259196177351,0.001742969942153394,-0.5345253934819105,-0.0008048281466388474,2513.830785137537,-0.1331864926722215,True
B path+class,1.0,0.04313317275703721,-4.139784547070368,-1.8333936443103993,1.9115734838262233,2500.872368337039,-0.6479847844334419,True
B path+class,2.0,0.47702909320190834,-6.081893949304784,-2.267643047388612,2.808355621589431,2492.344493940738,-0.9867711685387137,True
C path+class+crowd,0.5,-0.5352540894625002,0.001742969942153394,-0.5344535627485714,-0.0008048281466388474,2513.830785137537,-0.1331864926722215,True
C path+class+crowd,1.0,0.08261038374224317,-4.376272036044426,-1.8997726987056485,2.020773179617019,2500.352324245273,-0.6686445466716262,True
C path+class+crowd,2.0,0.4747480366944501,-6.383698385809522,-2.4021590006764404,2.947715859196931,2508.7346245534427,-0.33564137613697476,True
