route,n_od,flow,fw_improvement
001,90,165.96977712862972,491.9318977411194
008,119,126.93776651859028,402.4980107289802
002,111,80.61462785400222,314.99299210818464
033,64,38.619791356072014,227.6966653738545
007,65,49.87852973005699,204.73894617331626
034,66,39.41846616063388,190.8877373475917
005,38,42.613165378881334,124.78720033987665
010,37,22.672058968207722,97.66180773419643
102,34,19.657705673571012,96.371731066694
022,30,17.493554590242095,56.35571342321524
071,4,6.9046725039541705,50.713844633296084
101,15,9.919025798590878,47.47589727193291
021,7,4.482884386895618,38.617781093087714
009,2,2.1641510833289193,15.895384138794247
025,4,2.679425150788185,15.787481173703156
004,6,4.714757717252288,14.407331821716705
023,3,2.086859973210029,11.789174048755733
024,1,0.4637466607133398,3.2119685218246956
031,2,0.9017296180537162,3.1695200577778846
012,2,0.8502022113077896,3.093527314652982
074,1,0.4122192539674131,2.191632366926745
075,1,0.3606918472214865,1.9176783210609019
073,1,0.30916444047555985,1.6437242751950631
032,2,0.7729111011888996,1.4313922470235279
003,1,0.46374666071333975,1.3912399821400192
