period,od_index,origin_zone,dest_zone,flow,best_in_set_min,bound_min,omitted_path_min,improvement_min,improvement_pct,flow_weighted_improvement,route_sequence,n_boardings,sequence_already_in_set
am_peak,140,108,1131,0.3606918472214865,153.2286075434102,150.21356599144252,150.21356599144252,3.01504155196767,1.9676753579539632,1.0875009068287564,102+034+008,3,False
am_peak,219,109,1131,0.4122192539674131,141.19745696251965,138.18241541055198,138.18241541055198,3.01504155196767,2.1353370073570104,1.2428581792328643,102+034+008,3,False
am_peak,349,219,367,1.6488770158696524,64.5793392131598,63.36267254649312,63.36267254649312,1.2166666666666757,1.8839874818953655,2.006133702641425,002,1,False
am_peak,388,220,367,1.8034592361074324,63.620592132033984,57.823465212408,57.823465212407996,5.797126919625988,9.11202918010416,10.454882086086517,002,1,False
am_peak,393,220,382,0.9790207281726062,67.31554529368765,62.66841837406166,62.668418374061666,4.647126919625983,6.903497400713703,4.54963358076275,002,1,False
am_peak,472,223,367,1.133602948410386,58.119539738485855,56.36953973848586,56.369539738485855,1.75,3.0110355448000514,1.9838051597181754,002,1,False
am_peak,544,227,367,1.442767388885946,55.04869879052512,52.49869879052512,52.498698790525125,2.549999999999997,4.632262080714065,3.6790568416591585,002,1,False
am_peak,549,227,382,1.1851303551563128,58.74365195217879,57.34365195217879,57.34365195217879,1.3999999999999986,2.3832362365548723,1.6591824972188363,002,1,False
am_peak,553,227,473,0.566801474205193,120.06345322325771,97.81345322325771,112.81345322325772,7.249999999999986,6.038473661521819,4.109310687987641,002+033,2,False
am_peak,566,227,795,0.30916444047555985,81.79247459931017,74.90143697943597,74.90143697943599,6.891037619874183,8.425026450944793,2.1304637900444354,002+001,2,False
am_peak,571,227,1131,0.4122192539674131,120.89406127460013,111.21235305596578,111.21235305596579,9.681708218634341,8.008423339044919,3.99098653901562,002+034+008,3,False
am_peak,572,227,1136,0.7729111011888996,98.43121918820054,91.76455252153386,91.76455252153387,6.666666666666671,6.772918919067742,5.152740674592668,002+034,2,False
am_peak,573,227,1168,0.30916444047555985,132.31321156611918,122.26321156611917,129.76321156611917,2.5500000000000114,1.9272451857354642,0.7883693232126812,002+007,2,False
am_peak,635,229,367,2.267205896820772,60.47115477637638,54.383477857329076,54.383477857329076,6.087676919047304,10.06707568519183,13.802017008803757,002,1,False
am_peak,640,229,382,0.46374666071333975,64.16610793803004,59.22843101898274,59.22843101898274,4.937676919047298,7.695147917988074,2.2898311828895164,002,1,False
am_peak,749,231,762,0.30916444047555985,123.77108675306502,112.04934339534552,119.54934339534552,4.221743357719504,3.4109285685939557,1.3052129230207616,002+007,2,False
am_peak,816,233,329,0.30916444047555985,111.43938511005905,109.23451162001038,109.23451162001038,2.2048734900486693,1.9785406101003755,0.6816684788702917,032+002,2,False
am_peak,925,235,387,0.3606918472214865,110.04591323506308,108.18962292218026,108.18962292218026,1.8562903128828196,1.6868325758883014,0.6695487819330553,008+010,2,False
am_peak,1006,239,320,0.46374666071333975,85.25332753638305,77.92056624717868,81.44997801188455,3.8033495244985005,4.461232932961318,1.7637906415118483,002+022,2,False
am_peak,1012,239,367,3.0401169980096716,52.39011888849751,48.89011888849751,48.89011888849751,3.5,6.680649088521998,10.64040949303385,002,1,False
am_peak,1017,239,382,1.1851303551563128,56.085072050151176,53.735072050151174,53.735072050151174,2.3500000000000014,4.190063262999173,2.785056334617337,002,1,False
am_peak,1018,239,383,0.30916444047555985,88.81882083207348,85.3188208320735,85.31882083207348,3.5,3.940606244500051,1.0820755416644594,002+012,2,False
am_peak,1019,239,429,0.4122192539674131,68.15417611019095,66.38750944352428,66.38750944352428,1.7666666666666657,2.5921620177908657,0.7282540153424294,002,1,False
am_peak,1021,239,473,0.4122192539674131,123.19052946839972,101.10719613506637,116.10719613506637,7.083333333333343,5.749900876227931,2.91988638226918,002+033,2,False
am_peak,1038,239,1168,0.46374666071333975,129.65463166409154,118.65463166409157,126.15463166409155,3.499999999999986,2.6994793437597857,1.6231133124966826,002+007,2,False
am_peak,1153,244,367,1.288185168648166,53.12688067384929,49.62688067384929,49.62688067384929,3.5,6.588002072786496,4.508648090268581,002,1,False
am_peak,1155,244,382,0.7729111011888996,56.82183383550296,54.471833835502956,54.471833835502956,2.3500000000000014,4.135734173598061,1.8163410877939152,002,1,False
am_peak,1164,244,1168,0.4122192539674131,130.39139344944334,119.39139344944334,126.89139344944334,3.5,2.684226241785701,1.4427673888859458,002+007,2,False
am_peak,1228,247,367,1.4942947956318726,53.00461310602,47.22658239035439,47.22658239035438,5.778030715665622,10.900995926728843,8.634081227420243,002,1,False
am_peak,1230,247,381,0.30916444047555985,59.62866668414503,56.03396930181274,56.033969301812746,3.594697382332285,6.028471844546706,1.1113526048877205,002,1,False
am_peak,1231,247,382,1.288185168648166,56.69956626767367,52.071535552008044,52.071535552008044,4.6280307156656235,8.162374106738485,5.961760527968614,002,1,False
am_peak,1258,248,366,0.3606918472214865,74.96828607651312,70.83495274317978,70.83495274317977,4.133333333333354,5.513442483018549,1.4908596351821517,002+007,2,False
am_peak,1259,248,367,2.1126236765829924,48.778257736112245,44.64492440277891,44.64492440277891,4.133333333333333,8.473720721421508,8.732177863209701,002,1,False
am_peak,1261,248,381,0.46374666071333975,55.402311314237274,53.45231131423727,53.45231131423727,1.9500000000000028,3.5197087517518284,0.9043059883910138,002,1,False
am_peak,1262,248,382,1.442767388885946,52.47321089776591,49.489877564432575,49.489877564432575,2.9833333333333343,5.685440784528686,4.30425604350974,002,1,False
am_peak,1264,248,455,0.30916444047555985,102.90357397194441,92.47307964762138,99.97307964762136,2.9304943243230497,2.8478061657236693,0.9060046380961395,002+008,2,False
am_peak,1273,248,762,0.30916444047555985,115.30722846558763,103.6738951322543,111.17389513225429,4.13333333333334,3.5846263832166385,1.2778796872989828,002+007,2,False
am_peak,1359,252,367,0.721383694442973,44.83560490460734,40.33560490460733,40.33560490460733,4.500000000000007,10.03666619325032,3.2462266249933838,002,1,False
am_peak,1361,252,382,0.7729111011888996,48.530558066260994,45.180558066261,45.180558066261,3.3499999999999943,6.90286725206433,2.5892521889828095,002,1,False
am_peak,1362,252,429,0.3606918472214865,60.59966212630077,57.832995459634105,57.832995459634105,2.7666666666666657,4.565482000378858,0.9979141106461124,002,1,False
am_peak,1376,253,367,0.9274933214266795,48.61142233724069,44.11142233724069,44.11142233724069,4.5,9.25708358990475,4.173719946420058,002,1,False
am_peak,1378,253,382,0.7729111011888996,52.306375498894354,48.95637549889435,48.95637549889435,3.3500000000000014,6.404572995257171,2.589252188982815,002,1,False
am_peak,1697,270,1131,0.5152740674592664,107.62830731602904,104.32116200222397,104.32116200222397,3.3071453138050657,3.0727467487659115,1.7040862175231881,101+008,2,False
am_peak,1822,277,367,0.721383694442973,43.50097454242966,40.534460592995124,40.53446059299512,2.9665139494345425,6.819419520224969,2.139994792459705,002,1,False
am_peak,1960,293,382,0.4122192539674131,48.282874600799545,44.34954126746621,44.34954126746621,3.933333333333337,8.146435699725721,1.6213957322718264,002,1,False
am_peak,1969,294,367,0.6183288809511197,42.38396400633586,37.30063067300252,37.300630673002516,5.083333333333343,11.993529752369197,3.143171811501531,002,1,False
am_peak,1970,294,382,0.566801474205193,46.078917167989516,42.145583834656186,42.145583834656186,3.93333333333333,8.536080218624953,2.2294191318737573,002,1,False
am_peak,1977,295,287,0.9790207281726062,70.41579754436458,63.82315048554105,63.82315048554105,6.59264705882353,9.362454575153986,6.454338124114403,008+001,2,False
am_peak,1997,295,871,0.30916444047555985,124.50604225687621,102.53235423446608,117.53235423446608,6.97368802241013,5.601084008455009,2.1560163554995415,008+005,2,False
am_peak,2019,296,871,0.30916444047555985,119.81104911249665,97.83736109008652,112.83736109008652,6.97368802241013,5.820571703584852,2.1560163554995415,008+005,2,False
am_peak,2042,299,382,0.30916444047555985,43.913486665569025,39.53015333223569,39.53015333223569,4.383333333333333,9.981747445187825,1.3551707974178706,002,1,False
am_peak,2114,305,108,0.566801474205193,124.0487374610519,117.43942373556172,117.43942373556172,6.609313725490182,5.327997576408495,3.7461687630924514,008+102,2,False
am_peak,2115,305,109,0.46374666071333975,112.74749873628215,106.13818501079196,106.13818501079194,6.60931372549021,5.862049091616196,3.065047169802928,008+102,2,False
am_peak,2140,305,571,0.30916444047555985,105.74310747219124,99.13379374670102,99.13379374670103,6.60931372549021,6.250349439776351,2.043364779868619,008+102,2,False
am_peak,2190,307,367,1.3912399821400192,34.4522110981347,32.9522110981347,32.9522110981347,1.5,4.353856986790646,2.0868599732100286,002,1,False
am_peak,2210,308,367,0.46374666071333975,32.11226310244653,30.612263102446526,30.61226310244653,1.5000000000000036,4.671112699888545,0.6956199910700113,002,1,False
am_peak,2219,309,382,0.566801474205193,36.68887601788522,35.505542684551884,35.505542684551884,1.1833333333333371,3.225319120587073,0.6707150778094806,002,1,False
am_peak,2269,315,382,0.6698562876970463,35.74278677334204,34.5594534400087,34.55945344000871,1.18333333333333,3.3106913034992917,0.7926632737748359,002,1,False
am_peak,2277,315,745,0.3606918472214865,153.75148919980427,148.0693074178672,148.0693074178672,5.682181781937061,3.69569219232271,2.0495166431751564,002+031+025,3,False
am_peak,2285,315,1136,0.721383694442973,105.25415863375491,91.53372580918071,99.03372580918071,6.220432824574203,5.909916439709505,4.487318812025677,002+007,2,False
am_peak,2289,316,287,3.813028099198571,66.22219140004083,60.35279539247864,60.35279539247864,5.869396007562187,8.863186015856565,22.38017190215853,008+001,2,False
am_peak,2321,317,287,3.0916444047555984,66.1030262640998,62.087755886273044,62.087755886273044,4.015270377826752,6.074261050900516,12.413788197188977,008+001,2,False
am_peak,2582,325,287,2.9370621845178184,65.64298586239404,59.739075477087894,59.7390754770879,5.9039103853061405,8.993969892963705,17.34015193346469,008+001,2,False
am_peak,2649,327,287,4.482884386895618,73.89994901135074,67.9960386260446,67.9960386260446,5.903910385306148,7.989058807603954,26.46654768791982,008+001,2,False
am_peak,2776,330,366,0.46374666071333975,58.334498377151846,54.22413420518424,54.224134205184235,4.1103641719676105,7.046197852585866,1.9061676590657313,002+007,2,False
am_peak,2800,330,1136,1.133602948410386,101.46369556757665,89.85333139560905,97.35333139560903,4.110364171967618,4.051068856673017,4.659520944382906,002+007,2,False
am_peak,2801,330,1168,0.566801474205193,109.40898281234502,97.79861864037743,105.29861864037741,4.110364171967603,3.7568799803372417,2.329760472191445,002+007,2,False
am_peak,2884,332,640,0.3606918472214865,111.93848339097869,105.94495164926562,105.94495164926562,5.9935317417130705,5.354308509593492,2.1618180352991008,101+102,2,False
am_peak,2896,332,1168,0.3606918472214865,112.57508019457717,99.32742649560042,106.82742649560042,5.747653698976748,5.1056181252923665,2.073131829873333,101+007,2,False
am_peak,3152,343,383,0.3606918472214865,92.88128983250019,81.29985029084969,88.7998502908497,4.081439541650482,4.394253728615149,1.4721419676007297,007+010,2,False
am_peak,3281,349,287,0.8759659146807529,103.09192668878734,93.48114208795336,93.48114208795336,9.61078460083398,9.322538543533968,8.418719723669232,010+001,2,False
am_peak,3335,351,932,0.30916444047555985,95.38569634163682,91.93270971249565,91.93270971249567,3.452986629141151,3.620025602972809,1.0675406791680133,002+022,2,False
am_peak,3376,353,379,0.30916444047555985,80.67809298251942,78.07039494099564,78.07039494099564,2.6076980415237756,3.23222568248953,0.8062075059369114,001+010,2,False
am_peak,3408,354,366,0.3606918472214865,80.0569360404512,75.53021360147552,75.53021360147554,4.526722438975668,5.654378824451142,1.6327518783730863,002+007,2,False
am_peak,3583,360,382,0.4122192539674131,49.489517940341415,48.35472203917654,48.35472203917654,1.1347959011648712,2.2930025354719437,0.4677847197834614,007,1,False
am_peak,3596,361,287,1.0305481349185328,81.80820134156271,75.32067096356869,75.3206709635687,6.4875303779940054,7.930171146175795,6.6857123312690465,007+001,2,False
am_peak,3678,364,366,0.30916444047555985,59.01797395855314,54.81603597542356,54.81603597542356,4.201937983129582,7.119759797380539,1.2990898054672597,002+007,2,False
am_peak,3681,364,382,1.3397125753940926,40.30260901858897,33.47096079667635,33.47096079667635,6.831648221912616,16.950883300784874,9.152445033565025,002,1,False
am_peak,3693,364,1136,1.0305481349185328,102.14717114897795,90.44523316584838,97.94523316584835,4.201937983129596,4.1136116995361744,4.330299351557547,002+007,2,False
am_peak,3695,364,1168,0.30916444047555985,110.09245839374631,98.39052041061674,105.89052041061673,4.201937983129582,3.816735537053162,1.2990898054672597,002+007,2,False
am_peak,3696,365,287,0.3606918472214865,75.64931250574438,68.30445370118076,68.30445370118078,7.3448588045636,9.709088637131863,2.649230689799044,101+001,2,False
am_peak,3701,366,287,2.0610962698370656,80.05272244013966,72.70786363557606,72.70786363557606,7.3448588045636,9.175026883134178,15.138461084565964,007+001,2,False
am_peak,3780,368,287,2.8340073710259652,73.07154991073074,67.1676395254246,67.1676395254246,5.903910385306133,8.079629339351305,16.73172554983433,008+001,2,False
am_peak,3786,368,366,0.4122192539674131,67.08748347385327,60.21925504783694,60.21925504783694,6.86822842601633,10.2377195720766,2.8312159978502316,008+007,2,False
am_peak,3817,368,1136,1.0305481349185328,110.21668066427806,95.84845223826176,103.34845223826174,6.868228426016316,6.231568928243321,7.0780399946255645,008+007,2,False
am_peak,3818,368,1168,0.6183288809511197,118.16196790904644,103.79373948303012,111.29373948303012,6.868228426016316,5.812554197898127,4.246823996775339,008+007,2,False
am_peak,3822,369,287,4.585939200387471,74.82241708434921,68.91850669904306,68.91850669904306,5.903910385306148,7.890563570875449,27.07497407155016,008+001,2,False
am_peak,3826,369,329,0.8244385079348262,66.92123422981972,62.18426904709692,62.18426904709692,4.736965182722798,7.078418736951558,3.9053365073832054,008+001,2,False
am_peak,3834,369,379,0.4122192539674131,71.67343767174032,68.7531391556842,68.7531391556842,2.9202985160561212,4.07445018813092,1.203803275650798,008+010,2,False
am_peak,3846,369,745,0.5152740674592664,165.02695694324817,153.60665842719203,161.10665842719203,3.9202985160561354,2.37555038805224,2.020028162022771,008+007+025,3,False
am_peak,3860,369,1136,1.5973496091237258,107.11119285125038,95.69089433519426,103.19089433519426,3.9202985160561212,3.660026941815873,6.262087302270568,008+007,2,False
am_peak,3861,369,1168,0.46374666071333975,115.05648009601876,103.63618157996264,111.13618157996262,3.9202985160561354,3.4072818087121264,1.818025345820494,008+007,2,False
am_peak,3890,371,287,1.0820755416644594,86.99831752190052,79.65345871733692,79.65345871733692,7.3448588045636,8.442529710663248,7.947692069397132,007+001,2,False
am_peak,4007,376,287,0.46374666071333975,84.97872808290927,79.75663424517171,79.75663424517171,5.22209383773756,6.145177688047577,2.4217285791825027,010+001,2,False
am_peak,4136,381,287,1.3397125753940926,56.87496271346064,51.63194698322254,51.63194698322254,5.243015730238099,9.218495239553327,7.024134106789023,002,1,False
am_peak,4216,383,287,0.9790207281726062,78.7333294411833,72.83140161570847,72.83140161570846,5.901927825474843,7.496098370746281,5.778109677318547,010+001,2,False
