set_key,cardinality,members,lambda,seconds,incumbent_scale,edited_baseline_vh,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,base_gc_this_network,base_unserved_this_network,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,gc_vs_noedit_pct,unserved_vs_noedit_pct,served_vs_noedit_pct,gc_per_trip_vs_noedit_pct,sum_of_singles_unserved_pct,sum_of_singles_gc_pct,interaction_unserved_pts,interaction_gc_pts,interaction_class
splice|002|011|HIGFITN,1,['splice|002|011|HIGFITN'],2.0,91.45214653015137,1.0,2515.9034966656277,1783094.6435950012,9843.874436293212,21105.125563706795,84.48633192030286,2514.1372334948096,1771147.1679480083,10508.181906256934,0.6745614290671664,-6.321811669135369,3.249906471048103,-2.4942831717751357,-0.1210122361047894,0.0,-0.12147988423403255,0.3214998367710775,-0.14925063722629472,0.027812262971993462,0.3214998367710775,-0.12147988423403255,0.0,0.0,
splice|005|021|NMURBEAN,1,['splice|005|021|NMURBEAN'],2.0,85.47861981391907,1.0,2515.8530350266333,1784055.938885939,9851.095448877337,21097.904551122665,84.56081193101262,2513.960288306568,1766201.214719526,10540.55256360308,1.0109111021786132,-6.540995935132132,3.378292821511475,-2.2900181989078727,-0.12804172759626198,0.0,-0.06763375138965078,0.3950910652520845,-0.1834140690195274,0.11599306523060182,0.3950910652520845,-0.06763375138965078,0.0,0.0,
splice|001|021|PICBETS+splice|011|034|WESHIGW,2,"['splice|001|021|PICBETS', 'splice|011|034|WESHIGW']",2.0,80.42934989929199,1.0,2515.751625382676,1783375.4328559262,9867.393996650462,21081.60600334954,84.59390772090966,2515.7363391726894,1771259.7307117307,10467.350056001642,0.6840161233342856,-5.731690027956827,2.9292369559659637,-2.18132466443155,-0.05748465522882329,0.0,-0.10575171414147766,0.5611938298030861,-0.2605243521950018,0.1551769116974855,,,,,
splice|002|033|WESHIGW+splice|011|034|WESHIGW,2,"['splice|002|033|WESHIGW', 'splice|011|034|WESHIGW']",2.0,80.65028810501099,1.0,2516.668119349316,1776776.1050682468,9956.730302257973,20992.269697742027,84.63954258644841,2514.4492344181626,1771036.6041354851,10527.546026180351,0.32407579376732,-5.422115681117412,2.7951767031581864,-2.4039074484269563,-0.10861739305854101,0.0,-0.4754074110838169,1.4716434933398803,-0.6831845743901166,0.2092064293603313,,,,,
splice|006|021|NMURBEAN+splice|033|034|WESHIGW,2,"['splice|006|021|NMURBEAN', 'splice|033|034|WESHIGW']",2.0,88.34916353225708,1.0004266457240174,2518.257278839068,1784089.6876769396,9842.407268566805,21106.592731433197,84.52760283851816,2515.936588760252,1778396.4330812835,10361.69632168003,0.320134166361985,-5.011622006588867,2.522375252374953,-2.1480589779468207,-0.04952935118278656,0.0,-0.06574334175102337,0.306547546615632,-0.14230929984927476,0.07667507385902272,-0.45861620546761017,0.05673859476523768,0.7651637520832422,-0.12248193651626105,substituting
splice|008|035|BOASHAN+splice|033|034|WESHIGW,2,"['splice|008|035|BOASHAN', 'splice|033|034|WESHIGW']",2.0,82.6016538143158,1.0000740675395148,2517.369774909341,1786391.8429725268,9859.85528888836,21089.14471111164,84.70669946284244,2515.757361332257,1777017.741776283,10412.575903780973,0.52751871722303,-5.308202504357363,2.691416053266882,-2.1071842411068076,-0.05664950908395028,0.0,0.06320991646544538,0.484364886644606,-0.22485786838279953,0.28871698771248955,-0.22792069952699556,0.1511123685962401,0.7122855861716015,-0.08790245213079473,substituting
splice|005|006|NMURBEAN+splice|011|033|WESHIGW,2,"['splice|005|006|NMURBEAN', 'splice|011|033|WESHIGW']",2.0,84.2108588218689,1.0,2516.8333478863615,1785264.581264079,9842.103483269846,21106.896516730158,84.5820502246272,2514.1713025712043,1767881.4038712555,10460.884928171432,0.9832773485120905,-5.915192157741755,3.0201970397580435,-1.9772042276912427,-0.11965877583260953,0.0,6.731681301275216e-05,0.30345159117486364,-0.14087205705934913,0.1411381981553994,-0.5056122607464353,0.15122637417874785,0.8090638519212989,-0.1511590573657351,substituting
splice|005|006|NMURBEAN+splice|007|101|EMO4THW,2,"['splice|005|006|NMURBEAN', 'splice|007|101|EMO4THW']",2.0,92.39449715614319,1.0,2516.3213215288292,1784676.9915385966,9875.322726214923,21073.67727378508,84.6874975047033,2514.1158219813587,1768556.5507509033,10496.36060743587,0.9115027043296253,-5.916697267250792,3.0364681511312996,-2.062343056717386,-0.12186285008937148,0.0,-0.032846018677745725,0.6419975871909678,-0.2980360735120091,0.2659827794664116,-0.11983316087567086,0.08118742771189291,0.7618307480666386,-0.11403344638963864,substituting
splice|008|035|BOASHAN+splice|011|033|WESHIGW,2,"['splice|008|035|BOASHAN', 'splice|011|033|WESHIGW']",2.0,82.5794472694397,1.0,2517.040134600206,1782064.6462119408,9887.437780759432,21061.56221924057,84.61217775118097,2515.9308844114853,1769023.7092146885,10477.541871006055,0.7371827143595189,-5.632085249686158,2.882569900630827,-2.0852776017778796,-0.049755967523812394,0.0,-0.17917430595905115,0.7654652777202564,-0.35535377442729166,0.17680776152229072,0.02361085296784804,-0.040403323873783314,0.7418544247524084,-0.13877098208526784,substituting
splice|002|011|HIGFITN+splice|006|021|NMURBEAN,2,"['splice|002|011|HIGFITN', 'splice|006|021|NMURBEAN']",2.0,88.2597005367279,1.0,2516.4191088380294,1780203.7193442981,9918.520644622045,21030.479355377956,84.64874667200873,2515.1852027589593,1773636.3457840716,10480.55562001301,0.37027734438557225,-5.362644842204157,2.745860725695848,-2.3120964334051974,-0.07937962038419011,0.0,-0.2834125314797542,1.0822388755653112,-0.5024103384669076,0.22010363038151848,0.3476136330153645,-0.18248433244193452,0.7346252425499467,-0.10092819903781969,substituting
splice|002|033|WESHIGW+splice|007|101|EMO4THW,2,"['splice|002|033|WESHIGW', 'splice|007|101|EMO4THW']",2.0,79.86438202857971,1.010060769196844,2517.334786015983,1771603.7758855752,10042.90648682162,20906.093513178384,84.74102417885128,2513.445362371795,1769949.1140328445,10565.90201135313,0.09348640814652587,-4.949842653940461,2.565829418191523,-2.410493849725037,-0.1484981611009073,0.0,-0.7651310026904112,2.3498875365350225,-1.0908939045208732,0.3293558244435113,,,,,
splice|002|033|WESHIGW+splice|008|035|BOASHAN,2,"['splice|002|033|WESHIGW', 'splice|008|035|BOASHAN']",2.0,84.46241354942322,1.0000249859665857,2517.24622759199,1775288.4932980386,10042.734812942479,20906.265187057525,84.91657775378594,2514.0527507201155,1773869.250132408,10516.600573742127,0.08000833012493658,-4.505883412390855,2.319188025419461,-2.1884259819753837,-0.12436847851968746,0.0,-0.5587347109828444,2.3481379631176136,-1.0900816958739123,0.5372029357635144,,,,,
splice|002|011|HIGFITN+splice|005|021|NMURBEAN,2,"['splice|002|011|HIGFITN', 'splice|005|021|NMURBEAN']",2.0,87.26997470855713,1.0,2514.5731983589276,1780553.7515829236,9951.364022358726,20997.635977641276,84.79781978689861,2515.3187512054446,1766700.9617252508,10626.202937847691,0.7841049593444005,-6.350706074748191,3.3206005719839338,-2.4549756762905717,-0.07407414879946339,0.0,-0.26380577526392557,1.4169543309048738,-0.6577960938708771,0.39659913220693177,0.716590902023162,-0.18911363562368333,0.7003634288817118,-0.07469213964024224,substituting
splice|002|033|WESHIGW+splice|005|021|NMURBEAN,2,"['splice|002|033|WESHIGW', 'splice|005|021|NMURBEAN']",2.0,83.30506467819214,1.0,2516.287821042616,1773752.776986465,10053.088098497728,20895.911901502273,84.88515769723092,2513.4791739109373,1767946.6791493138,10610.792609662445,0.32840910337550433,-5.25601179554539,2.742151756352307,-2.3493207137620487,-0.1471549319965848,0.0,-0.6447565455885318,2.453651004945079,-1.1390642673321127,0.5000030781422637,,,,,
splice|005|006|NMURBEAN+splice|008|035|BOASHAN+splice|011|034|WESHIGW,3,"['splice|005|006|NMURBEAN', 'splice|008|035|BOASHAN', 'splice|011|034|WESHIGW']",2.0,83.22948861122131,1.0,2515.282763104837,1788102.3749855082,9902.303520245106,21046.69647975489,84.95881416380517,2514.77025777165,1771742.208553463,10469.097683859201,0.923394292525348,-5.413973397993543,2.7675628275208197,-1.7945044956360734,-0.09586411644033621,0.0,0.15902390294166846,0.9169659181476719,-0.4256852786392207,0.5872088431811973,-0.6001563984069813,0.3603561065913974,1.5171223165546532,-0.20133220364972892,substituting
splice|002|033|WESHIGW+splice|008|035|BOASHAN+splice|011|034|WESHIGW,3,"['splice|002|033|WESHIGW', 'splice|008|035|BOASHAN', 'splice|011|034|WESHIGW']",2.0,82.39251208305359,1.0,2516.2962275919904,1775965.511299464,10052.246646034966,20896.753353965036,84.98762851897685,2512.7777980743385,1772564.1733848662,10543.990945117732,0.19188799850911042,-4.66373977028558,2.4099195337779156,-2.16583661559977,-0.17501845021200557,0.0,-0.52081212716657,2.4450755427475546,-1.1350832600310001,0.6213236738772387,,,,,
splice|002|033|WESHIGW+splice|005|021|NMURBEAN+splice|011|034|WESHIGW,3,"['splice|002|033|WESHIGW', 'splice|005|021|NMURBEAN', 'splice|011|034|WESHIGW']",2.0,80.75419759750366,1.0,2515.3378210426163,1773794.5589219441,10064.662152255705,20884.3378477443,84.93420149844637,2515.1716373016366,1766562.5895504153,10645.415061528118,0.4093808741511662,-5.4554275800031355,2.860346638449962,-2.3828091625180403,-0.07991853454046849,0.0,-0.6424161662383909,2.5716052149165947,-1.1938224319973822,0.5580686140595814,,,,,
