block_id,start_sec,end_sec,n_trips,run_minutes,n_routes,routes,span_hours,layover_minutes
3552,50160,81600,9,429.0,1,035,8.733333333333333,95.0
4101,24960,26760,1,30.0,1,041,0.5,0.0
4201,25260,27780,1,42.0,1,042,0.7,0.0
4301,24300,26760,1,41.0,1,043,0.6833333333333333,0.0
4302,25560,27600,1,34.0,1,043,0.5666666666666667,0.0
4401,26100,28020,1,32.0,1,044,0.5333333333333333,0.0
4501,22500,24480,1,33.0,1,045,0.55,0.0
4502,22860,27180,2,65.0,1,045,1.2,7.0
4601,26640,27900,1,21.0,1,046,0.35,0.0
5101,24600,30180,3,84.0,1,051,1.55,9.0
5102,17100,28620,4,160.0,2,001+051,3.2,32.0
5201,24120,26100,1,33.0,1,052,0.55,0.0
5202,25680,28020,1,39.0,1,052,0.65,0.0
6101,24300,28020,2,57.0,1,061,1.0333333333333334,5.0
7101,24000,26280,1,38.0,1,071,0.6333333333333333,0.0
7102,25560,27840,1,38.0,1,071,0.6333333333333333,0.0
7151,60120,62820,1,45.0,1,071,0.75,0.0
7201,23400,26100,1,45.0,1,072,0.75,0.0
7202,24900,27600,1,45.0,1,072,0.75,0.0
7251,59940,62700,1,46.0,1,072,0.7666666666666667,0.0
7301,24420,29460,2,79.0,1,073,1.4,5.0
7302,25620,27900,1,38.0,1,073,0.6333333333333333,0.0
7303,27120,29400,1,38.0,1,073,0.6333333333333333,0.0
7401,24900,27960,1,51.0,1,074,0.85,0.0
7501,26160,28680,1,42.0,1,075,0.7,0.0
10101,15780,73260,13,786.0,1,101,15.966666666666667,172.0
10102,16680,86160,19,842.0,1,101,19.3,316.0
10103,17580,85800,16,929.0,1,101,18.95,208.0
10104,19380,87600,16,919.0,1,101,18.95,218.0
10105,19560,84000,18,749.0,1,101,17.9,325.0
10106,19260,83760,15,877.0,1,101,17.916666666666668,198.0
10107,21180,89400,16,932.0,1,101,18.95,205.0
10108,21360,85560,18,761.0,1,101,17.833333333333332,309.0
10109,23040,87360,18,773.0,1,101,17.866666666666667,299.0
10201,18060,86220,12,891.0,1,102,18.933333333333334,245.0
10202,19620,61800,8,603.0,1,102,11.716666666666667,100.0
10203,19200,82680,11,834.0,1,102,17.633333333333333,224.0
10204,21300,77100,10,753.0,1,102,15.5,177.0
10205,21000,84240,11,818.0,1,102,17.566666666666666,236.0
10206,22680,89820,12,904.0,1,102,18.65,215.0
10251,52800,87840,6,452.0,1,102,9.733333333333333,132.0
10252,60660,85380,5,336.0,2,043+102,6.866666666666666,76.0
14101,28800,43020,4,171.0,1,141,3.95,66.0
14151,47700,68220,6,258.0,1,141,5.7,84.0
