period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,301,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,302,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,303,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,304,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,305,0.10305481349185328,101,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,307,1.288185168648166,002,2,30.0,15.0,10.5,6.75,7.5,9.661388764861245
am_peak,308,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,308,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,309,0.20610962698370655,002,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,310,0.8759659146807529,002,2,30.0,15.0,10.5,6.75,7.5,6.569744360105647
am_peak,311,0.2576370337296332,002,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,316,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,317,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,317,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,326,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,326,0.15458222023777993,001,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,327,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,328,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,328,0.10305481349185328,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,1.5016558537384337
am_peak,329,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,331,0.2576370337296332,002,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,332,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,332,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,337,0.15458222023777993,011,2,60.0,12.0,18.0,6.0,24.0,3.7099732857067185
am_peak,340,0.20610962698370655,002,2,30.0,15.0,10.5,6.75,7.5,1.5458222023777992
am_peak,341,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,342,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,343,1.6488770158696524,002,2,30.0,15.0,10.5,6.75,7.5,12.366577619022394
