route,n_legs,flow,bound_min,median_lines,share_of_bound
010,4173,1443.9009918343563,20960.010469667584,4.0,0.2301058620599555
005,2303,829.4624300925541,12441.936451388312,2.0,0.13659165471243662
007,2237,965.829712045649,10501.060467788291,2.0,0.11528408227567391
001,2935,1208.5237978189634,9180.366185051946,2.0,0.10078506774099648
002,2239,1044.7181717736626,8049.151761897513,2.0,0.08836622518405694
102,1081,587.2836183866989,7117.673265226412,3.0,0.07814014906749218
008,2185,848.4502794784281,6408.014811392709,2.0,0.07034928605605166
033,890,309.4736049160354,4642.104073740531,2.0,0.05096253941313212
004,1593,579.477216264691,4437.243986370413,2.0,0.048713518255714426
101,1074,340.8537956243047,2438.5345242509784,2.0,0.026771030943794846
022,771,234.3208821771014,1856.4931425983793,2.0,0.020381189961913744
023,209,164.08902678240338,908.7719758036181,3.0,0.009976796491148748
006,275,107.09971492140852,652.992263381727,3.0,0.007168763007126342
034,660,293.98961918888443,608.7061377413179,2.0,0.006682575410391642
073,35,13.50018056743278,294.324547332733,2.0,0.003231191310110009
021,57,13.397125753940927,134.85252547496398,2.0,0.0014804552063695045
035,78,15.921968684491333,119.414765133685,2.0,0.0013109744154726794
031,58,19.55465086007916,95.56493686842751,2.0,0.0010491431868623244
012,50,12.083176881919798,89.13394994372328,3.0,0.0009785417054199903
024,17,12.907615389854623,68.02662164923383,2.0,0.0007468185400134314
003,46,15.715859057507625,42.86748133597059,2.0,0.00047061325477043065
032,14,3.1946992182474516,23.960244136855888,2.0,0.0002630434102242917
011,3,0.6183288809511197,14.839893142826874,2.0,0.00016291720891310968
025,1,0.15458222023777993,2.5105082384481556,2.0,2.7561181958984724e-05
