period,route_directions,trips,median_headway_min,p25,p75,min,max,trip_weighted_mean,pct_routes_15min_or_better
am_peak,68,404,29.6,15.0,59.75,13.636363636363635,180.0,28.086368458274393,26.47058823529412
early,46,140,29.0,15.0,58.25,9.4,120.0,27.03642857142857,28.26086956521739
evening,49,455,30.142857142857146,17.384615384615383,56.333333333333336,14.533333333333333,240.0,25.45675030098107,6.122448979591836
midday,50,750,29.272727272727273,14.884510869565217,54.3,14.304347826086957,195.0,24.05813924650229,34.0
owl,44,176,30.0,16.1875,30.916666666666668,11.0,360.0,28.037757034632033,20.454545454545457
pm_peak,69,406,30.4,15.545454545454545,60.5,13.727272727272727,180.0,29.263933049708907,10.144927536231885
