source,gc_change_pct,unserved_change_pct,revenue_veh_hours,vh_vs_budget_pct
A_lam0.25_seed20260825,-3.9648247153639793,14.746759008872278,2487.0792072076647,-1.1959449169641423
A_lam0.5_seed20260825,-3.572709294074694,10.77344388285204,2490.6734979724556,-1.0531547309179379
A_lam1.0_seed20260825,-1.2107821735663271,-1.4242377082793856,2476.6235862058224,-1.6113147815022488
A_lam16.0_seed20260825,3.3158647900934257,-10.14934750497517,2480.7345633010245,-1.447998226813385
A_lam2.0_seed20260825,1.861138535018414,-8.438826125132582,2486.764341522724,-1.2084535682320596
A_lam4.0_seed20260825,2.758175345382652,-9.486871675614506,2485.963434480547,-1.2402711570254965
A_lam8.0_seed20260825,3.2095171509266107,-9.933125483902117,2489.946731460931,-1.0820269430409257
B_lam0.25_seed20260825,-3.994310053428618,14.582809054903635,2510.511286332244,-0.26506003407603673
B_lam0.5_seed20260825,-3.307849596187118,9.723745787890504,2504.7276933617222,-0.49482450509940046
B_lam1.0_seed20260825,-1.1494895531261484,-1.31389357526841,2502.6229401839605,-0.5784399156215425
B_lam16.0_seed20260825,1.2651339880314305,-6.665468062432412,2512.205364503878,-0.19775948630897933
B_lam2.0_seed20260825,0.7894498094460856,-6.1642692736316835,2507.9870931261785,-0.3653385148938315
B_lam4.0_seed20260825,1.1714054658564343,-6.670314756241591,2513.7525983233354,-0.13629261582051022
B_lam8.0_seed20260825,1.171833690385271,-6.528682928850671,2513.0726801272394,-0.16330368756456437
C_lam0.25_seed20260825,-4.024982757101736,14.78651205447392,2510.289185008447,-0.27388344081227256
C_lam0.5_seed20260825,-3.2350445351559176,9.495531458603423,2505.1726527343603,-0.477147629253849
C_lam1.0_seed20260825,-1.2292391110274137,-1.100795765267315,2497.872127311343,-0.7671751900731882
C_lam16.0_seed20260825,1.2651339880314305,-6.665468062432412,2512.205364503878,-0.19775948630897933
C_lam2.0_seed20260825,0.7663402837084998,-6.099867530359216,2509.669288943682,-0.2985100167376742
C_lam4.0_seed20260825,1.1508147692550041,-6.763386572883478,2516.50999655353,-0.02674961219100158
C_lam8.0_seed20260825,1.171833690385271,-6.528682928850671,2513.0726801272394,-0.16330368756456437
R_lam0.25_seed20260825,1.10251520574427,5.805175446637012,2417.221869872071,-3.971163408621914
R_lam0.5_seed20260825,2.1533940891937275,-4.073590883105616,2437.4913297568137,-3.1659197215082924
R_lam1.0_seed20260825,2.5209704515753772,-6.781086443840589,2459.2839847855194,-2.3001641470087875
R_lam16.0_seed20260825,2.3956697973478436,-8.303640724809657,2498.976384354636,-0.7233064329322025
R_lam2.0_seed20260825,2.5762601520564976,-7.6448179063212995,2481.4010989459753,-1.4215188029222392
R_lam4.0_seed20260825,2.592438805889752,-7.8042694956447,2470.7605933159516,-1.8442335686335354
R_lam8.0_seed20260825,2.463160290793809,-8.033463691756737,2481.04992712749,-1.4354697859052856
