lambda,n_paths,seconds,gc,unserved,served,gc_change_pct,unserved_change_pct,served_change_pct,gc_per_trip_change_pct,revenue_veh_hours,vh_vs_budget_pct,improvable_flow_pct,overstatement_pct,certified
0.25,233589,792.2498631477356,1656472.1396269917,13537.20290687968,17411.79709312032,-7.391904203476418,24.588900950332103,-13.302988910960556,6.818095149108827,2502.1313709883284,-0.597968457270559,3.8930880820905887,0.34376913685595584,False
0.5,233589,1162.740121603012,1680514.0127997673,12382.070103969068,18566.929896030935,-6.047799439714064,13.957699855372496,-7.551338987195688,1.6263508102874358,2509.7116818348895,-0.29682587674493277,1.7919977558349571,0.13813736192733628,False
1.0,233589,2331.66499376297,1744718.3527079432,10818.966039152325,20130.033960847675,-2.458338730699172,-0.42824226621187567,0.23168591919289216,-2.683806647790754,2512.924025784034,-0.16920927025443344,1.1148955736688502,0.10819486527915535,False
2.0,233589,3249.994193315506,1798266.012243237,10101.087313133548,20847.912686866453,0.5353408279807681,-7.035199560532268,3.8061555467321817,-3.150887056287266,2516.666253756886,-0.02054199110570476,0.7491854493940475,0.09229171561403725,True
4.0,233589,3279.639641046524,1806104.7441504083,10054.380706911656,20894.619293088344,0.9735794303795009,-7.4650612370052,4.038717592791774,-2.9461514264422672,2515.773806425866,-0.05599619577970616,0.7323724307739157,0.09357274815791014,True
8.0,233589,3061.7906391620636,1810419.9929085847,10040.605394122444,20908.39460587756,1.2148312817224394,-7.591841569135904,4.107307781343494,-2.7783606754063106,2515.686757484067,-0.059454384170121166,0.7671541902750103,0.09654104354082203,True
16.0,233589,3197.3055114746094,1810948.857893969,10039.157674081354,20909.84232591865,1.2443984431966593,-7.605165580753659,4.11451628485322,-2.756693249002884,2516.6832298952163,-0.01986758101781838,0.8115626558789729,0.0966007255152454,True
