candidate,class,unserved_vs_noedit_pct_lam2.0,gc_vs_noedit_pct_lam2.0,margin_pts,modelled_share_pct
splice|011|034|WESHIGW,beneficial,-0.5845518890625012,0.1019877572926653,0.454626352917966,0.0
splice|033|034|WESHIGW,beneficial,-0.4847300017118972,0.11774304297313964,0.35480446556736195,0.0
splice|005|006|NMURBEAN,beneficial,-0.2724138115293817,0.22499902367563163,0.14248827538484649,0.6410256410256411
splice|011|033|WESHIGW,beneficial,-0.23319844921705357,-0.07377264949688378,0.10327291307251835,0.7194244604316546
splice|006|021|NMURBEAN,noise-floor,0.026113796244287002,-0.06100444820790196,-0.10381173990024822,0.970873786407767
splice|002|034|WESHIGW,noise-floor,0.052252785603124074,-0.012904417898218501,-0.07767275054141115,0.0
splice|007|101|EMO4THW,harmful,0.15258065065371085,-0.14381159596373871,0.022655114509175622,0.0
splice|008|035|BOASHAN,harmful,0.2568093021849016,0.033369325623100465,0.12688376604036639,0.7299270072992701
splice|002|011|HIGFITN,harmful,0.3214998367710775,-0.12147988423403255,0.1915743006265423,1.0471204188481675
splice|001|021|PICBETS,harmful,0.3717146467645982,-0.10850585631521081,0.24178911062006297,0.6172839506172839
splice|005|021|NMURBEAN,harmful,0.3950910652520845,-0.06763375138965078,0.26516552910754926,0.5988023952095808
splice|002|033|WESHIGW,harmful,1.4828715105629886,-0.5613448189546677,1.3529459744184533,0.684931506849315
