period,baseline_headway,trial_headway,objective_change_pct,gc_change_pct,veh_hours_change,feasible
am_peak,14.4,10.0,-0.043921918861222764,-0.01289440572378453,14.498000000000502,False
am_peak,14.4,12.0,-0.023378130377660344,-0.006244898628537943,6.5900000000001455,False
am_peak,14.4,15.0,0.0056046662533226765,0.0012473719015249074,-1.3179999999997563,True
am_peak,14.4,20.0,0.04705399639732821,0.006489648134611059,-9.225999999999658,True
am_peak,14.4,24.0,0.07462696639983779,0.0047631907036160825,-13.179999999999836,True
am_peak,14.4,30.0,0.1050685334358814,-0.007774710747587843,-17.134000000000015,True
am_peak,14.4,40.0,0.1305156913659511,-0.045835768333457594,-21.087999999999738,True
am_peak,14.4,60.0,0.13809302229945697,-0.1525698822993582,-25.04199999999946,True
midday,15.0,10.0,-0.07444175685779042,-0.023187796694312812,33.316666666666606,False
midday,15.0,12.0,-0.043164746966939394,-0.01231147160872803,16.658333333333303,False
midday,15.0,20.0,0.061941069432713824,0.009684132950704694,-16.658333333333303,True
midday,15.0,24.0,0.10202250609270269,0.00913267739417467,-24.987499999999727,True
midday,15.0,30.0,0.14705860312860253,-0.004236049651806795,-33.316666666666606,True
midday,15.0,40.0,0.18383228869907065,-0.05694881540472263,-41.64583333333303,True
midday,15.0,60.0,0.19172883547460273,-0.21206939663701574,-49.97499999999991,True
pm_peak,15.0,10.0,-0.05389963914648188,-0.01673322130032462,17.225000000000364,False
pm_peak,15.0,12.0,-0.031479244447008004,-0.008890068500599924,8.612500000000182,False
pm_peak,15.0,20.0,0.045412151266388534,0.006977620725501232,-8.612499999999727,True
pm_peak,15.0,24.0,0.07504408604641633,0.006098410435639856,-12.918749999999818,True
pm_peak,15.0,30.0,0.10755631398111642,-0.006198085044029078,-17.22499999999991,True
pm_peak,15.0,40.0,0.13395284417907494,-0.04750756396937339,-21.53125,True
pm_peak,15.0,60.0,0.13853839332753637,-0.16466310994585065,-25.837499999999636,True
