cell,lambda,level,iterations,restarts,width,seconds,objective_change_pct,gc_change_pct,unserved_change_pct,veh_hours,exchanges
conv|lam=1.0|L0 ablation|seed=20260825,1.0,L0 ablation,20000,0,24,12.974899053573608,-0.658715872423532,-0.5595744571821104,-0.9301051421557349,2510.0629700305244,41
conv|lam=1.0|L1|seed=20260825,1.0,L1,60000,2,32,98.75337171554565,-1.3986465887669053,-1.9035724039761392,-0.01646490490778696,2498.8519418836745,41
conv|lam=1.0|L2|seed=20260825,1.0,L2,150000,5,48,334.45301818847656,-1.7484478290037742,-2.0169491997445443,-1.0134533693222925,2497.872127311343,65
conv|lam=1.0|L3|seed=20260825,1.0,L3,300000,10,80,1101.6013078689575,-1.8277040268697808,-1.924752032992827,-1.5620452459600753,2510.893891890726,34
conv|lam=1.0|L4 exp1-matched|seed=20260825,1.0,L4 exp1-matched,400000,20,0,1946.8488368988037,-1.8686178071613324,-2.1994175411998995,-0.9630880844948453,2513.545880364848,49
