set_key,cardinality,seed,members,lambda,seconds,incumbent_scale,edited_baseline_vh,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,base_gc_this_network,base_unserved_this_network,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,gc_vs_noedit_pct,unserved_vs_noedit_pct,served_vs_noedit_pct,gc_per_trip_vs_noedit_pct,sum_of_singles_unserved_pct,sum_of_singles_gc_pct,interaction_unserved_pts,interaction_gc_pts,interaction_class
<none>,0,20260825,[],2.0,557.901269197464,1.0,2517.1833333333334,1786467.9717062397,9749.131854807798,21199.868145192206,84.26788126563808,2516.1293979551874,1770600.9012074382,10423.684219641913,0.8961404282569418,-6.471343055107326,3.2864408618727747,-2.314244167646784,-0.041869631194102475,0.0,0.0,0.0,0.0,0.0,,,,,
<none>,0,20260826,[],2.0,550.5851533412933,1.0,2517.1833333333334,1786248.8777134644,9748.770878881282,21200.229121118722,84.25611192730379,2516.9713873262153,1770600.9012074382,10423.684219641913,0.8837664374481635,-6.474806091006247,3.2881995482207937,-2.327887523734118,-0.008419967044570598,0.0,-0.012264087363744736,-0.0037026468806877766,0.0017027272247283065,-0.013966576775781281,,,,,
<none>,0,20260827,[],2.0,564.6980032920837,1.0,2517.1833333333334,1785417.5471605796,9765.108794195015,21183.891205804986,84.2818502896826,2516.055100573847,1770600.9012074382,10423.684219641913,0.8368145494016987,-6.318067696313245,3.2086006982514848,-2.298050872508306,-0.04482123906296431,0.0,-0.05879895762457288,0.1638806370162893,-0.07536339036543493,0.016576925674072207,,,,,
splice|011|034|WESHIGW,1,20260825,['splice|011|034|WESHIGW'],2.0,563.3359069824219,1.0,2516.233333333333,1787084.1295641689,9754.969670750388,21194.030329249614,84.32016477290007,2514.3822760235607,1769598.2317266962,10455.657047166675,0.988128125580845,-6.701514531850128,3.4190974992658107,-2.350600065623487,-0.11127744541608031,0.0,0.034490282931898264,0.05988036708839406,-0.027537038922176293,0.062044407046579764,0.05988036708839406,0.034490282931898264,0.0,0.0,
splice|011|034|WESHIGW,1,20260826,['splice|011|034|WESHIGW'],2.0,593.6320598125458,1.0,2516.233333333333,1787084.1295641689,9754.969670750388,21194.030329249614,84.32016477290007,2514.3822760235607,1769598.2317266962,10455.657047166675,0.988128125580845,-6.701514531850128,3.4190974992658107,-2.350600065623487,-0.11127744541608031,0.0,0.034490282931898264,0.05988036708839406,-0.027537038922176293,0.062044407046579764,0.05988036708839406,0.034490282931898264,0.0,0.0,
splice|011|034|WESHIGW,1,20260827,['splice|011|034|WESHIGW'],2.0,582.595584154129,1.0,2516.233333333333,1787084.1295641689,9754.969670750388,21194.030329249614,84.32016477290007,2514.3822760235607,1769598.2317266962,10455.657047166675,0.988128125580845,-6.701514531850128,3.4190974992658107,-2.350600065623487,-0.11127744541608031,0.0,0.034490282931898264,0.05988036708839406,-0.027537038922176293,0.062044407046579764,0.05988036708839406,0.034490282931898264,0.0,0.0,
