route_id,period,boardings_modelled,peak_segment_volume,trips,peak_point_pax_per_bus,load_factor_vs_capacity
074,am_peak,63.594244603176136,61.664040918226775,1.0,61.664040918226775,1.0277340153037795
042,am_peak,25.111919182676353,24.98087791083571,1.0,24.98087791083571,0.41634796518059514
071,am_peak,48.62595519384858,48.62595519384866,2.0,24.31297759692433,0.40521629328207215
075,am_peak,21.997311358702344,19.746709294184985,1.0,19.746709294184985,0.3291118215697498
102,am_peak,601.6366869273951,200.9264817941726,12.0,16.743873482847714,0.2790645580474619
073,am_peak,72.96584224575817,62.28835726767546,4.0,15.572089316918865,0.25953482194864774
025,am_peak,276.0101742964065,85.26888177018074,7.0,12.181268824311534,0.2030211470718589
031,am_peak,369.10585101141214,139.67390322191105,12.0,11.639491935159255,0.19399153225265425
009,am_peak,140.83944452640242,68.32748980683722,6.0,11.387914967806203,0.18979858279677006
032,am_peak,187.3671332651671,65.24488559520519,6.0,10.874147599200866,0.18123579332001444
003,am_peak,391.6930903694224,133.62782944347055,14.0,9.544844960247897,0.15908074933746494
001,am_peak,584.2468808250602,193.49386372312958,24.0,8.062244321797065,0.13437073869661775
004,am_peak,300.11995293794917,92.6462395366258,12.0,7.720519961385484,0.12867533268975806
005,am_peak,340.900062066681,76.75032975584219,12.0,6.395860812986849,0.10659768021644749
033,am_peak,189.35144870288138,69.9016193703105,12.0,5.825134947525875,0.09708558245876459
002,am_peak,413.49378198609224,139.59696581957627,24.0,5.816540242482344,0.09694233737470574
021,am_peak,160.24478417422813,38.389996706193536,7.0,5.484285243741934,0.09140475406236556
034,am_peak,324.1512824918842,130.59324843900944,24.0,5.441385351625393,0.09068975586042322
072,am_peak,10.556781555752579,10.556781555752659,2.0,5.2783907778763295,0.08797317963127216
024,am_peak,215.8706919795829,62.78916575827384,12.0,5.232430479856153,0.08720717466426922
035,am_peak,102.61921376315867,30.831542882797887,6.0,5.1385904804663145,0.08564317467443858
010,am_peak,421.8432037859559,122.85322124204005,25.0,4.914128849681602,0.08190214749469336
023,am_peak,248.94027915608177,114.2786933225259,24.0,4.761612221771912,0.07936020369619853
008,am_peak,427.2869888829178,100.32916697743462,24.0,4.180381957393109,0.06967303262321849
011,am_peak,67.66203696273605,24.81157055366984,6.0,4.135261758944973,0.06892102931574956
006,am_peak,203.39615103395943,98.80596812540237,25.0,3.952238725016095,0.06587064541693492
007,am_peak,342.156044432856,91.86909320240339,24.0,3.8278788834334745,0.06379798139055791
101,am_peak,266.10843708986334,88.6869481063186,24.0,3.6952895044299416,0.061588158407165694
043,am_peak,13.897221139642989,6.370487418465937,2.0,3.1852437092329686,0.05308739515388281
022,am_peak,160.9559634722919,51.04952913431536,17.0,3.0029134784891385,0.050048557974818976
052,am_peak,8.375509057722958,8.37550905772307,3.0,2.791836352574357,0.04653060587623928
046,am_peak,2.564516411083885,2.5645164110839986,1.0,2.5645164110839986,0.04274194018473331
051,am_peak,9.608399150019375,9.251434624988743,6.0,1.5419057708314572,0.02569842951385762
012,am_peak,42.925400302785036,19.401232200510012,14.0,1.3858023000364295,0.02309670500060716
061,am_peak,0.9592008489950083,0.9592008489951164,2.0,0.4796004244975582,0.007993340408292636
