source,gc_change_pct,unserved_change_pct,revenue_veh_hours,vh_vs_budget_pct
A_lam0.25_seed20260825,-5.703091609058553,15.615786530704167,2487.0792072076647,-1.1959449169641423
A_lam0.5_seed20260825,-5.330912121749309,11.757328481829955,2490.6734979724556,-1.0531547309179379
A_lam1.0_seed20260825,-1.833027608789184,-1.717199981180284,2476.6235862058224,-1.6113147815022488
A_lam16.0_seed20260825,3.1879633094842985,-10.247899029348407,2480.7345633010245,-1.447998226813385
A_lam2.0_seed20260825,1.7025440931610625,-8.77314979314373,2486.764341522724,-1.2084535682320596
A_lam4.0_seed20260825,2.610542455751874,-9.827424516203276,2485.963434480547,-1.2402711570254965
A_lam8.0_seed20260825,3.071009562044713,-10.186609565802552,2489.946731460931,-1.0820269430409257
B_lam0.25_seed20260825,-5.84576037921164,15.742179030593896,2510.511286332244,-0.26506003407603673
B_lam0.5_seed20260825,-4.847592931726208,10.397096979788412,2504.7276933617222,-0.49482450509940046
B_lam1.0_seed20260825,-1.6791956456315593,-1.7590380891556512,2502.6229401839605,-0.5784399156215425
B_lam16.0_seed20260825,1.167021065312146,-7.298803626075323,2512.205364503878,-0.19775948630897933
B_lam2.0_seed20260825,0.5886169852967971,-6.713494811134268,2507.9870931261785,-0.3653385148938315
B_lam4.0_seed20260825,1.0542321564305235,-7.23871721969579,2513.7525983233354,-0.13629261582051022
B_lam8.0_seed20260825,1.0432868146150742,-7.22968742365434,2513.0726801272394,-0.16330368756456437
C_lam0.25_seed20260825,-5.859132337337036,15.914298658114067,2510.289185008447,-0.27388344081227256
C_lam0.5_seed20260825,-4.906028363127435,10.435895640643377,2505.1726527343603,-0.477147629253849
C_lam1.0_seed20260825,-1.8323690498833978,-1.6409185097727597,2497.872127311343,-0.7671751900731882
C_lam16.0_seed20260825,1.167021065312146,-7.298803626075323,2512.205364503878,-0.19775948630897933
C_lam2.0_seed20260825,0.5749300971625404,-6.71591611167035,2509.669288943682,-0.2985100167376742
C_lam4.0_seed20260825,1.0154319103038656,-7.301801451591617,2516.50999655353,-0.02674961219100158
C_lam8.0_seed20260825,1.0432868146150742,-7.22968742365434,2513.0726801272394,-0.16330368756456437
R_lam0.25_seed20260825,-0.5411347591741777,8.172454912464078,2417.221869872071,-3.971163408621914
R_lam0.5_seed20260825,1.6830190121736477,-3.1902355223791146,2437.4913297568137,-3.1659197215082924
R_lam1.0_seed20260825,2.38333138391984,-6.1600948080754,2459.2839847855194,-2.3001641470087875
R_lam16.0_seed20260825,2.3651470329220547,-7.8715320717510195,2498.976384354636,-0.7233064329322025
R_lam2.0_seed20260825,2.5005334889294906,-7.0670097904616425,2481.4010989459753,-1.4215188029222392
R_lam4.0_seed20260825,2.514681144324893,-7.220560493810401,2470.7605933159516,-1.8442335686335354
R_lam8.0_seed20260825,2.4252889837786507,-7.565532253874263,2481.04992712749,-1.4354697859052856
