phase,lambda,n_paths,seconds,baseline_gc,baseline_unserved,baseline_served,gc,unserved,served,gc_change_pct,unserved_change_pct,served_change_pct,gc_per_trip_change_pct,revenue_veh_hours,vh_vs_budget_pct
final,0.25,240965,1008.100754737854,1772726.8929242054,10261.917192383251,20687.08280761675,1694199.2666205454,11689.297950517646,19259.702049482356,-4.429764484145926,13.909494019244729,-6.899864864507855,2.6531651933341616,2510.6911839896447,-0.2579132500091452
final,0.5,240965,1649.700037240982,1772726.8929242054,10261.917192383251,20687.08280761675,1710266.0762190856,11007.650219797339,19941.34978020266,-3.5234314408175704,7.26699517676479,-3.6048244904763327,0.08443684990304678,2511.845983516337,-0.21203659448707501
final,1.0,240965,2628.2588341236115,1772726.8929242054,10261.917192383251,20687.08280761675,1752346.8326182636,10045.736937920887,20903.263062079117,-1.1496446738236021,-2.1066263779912497,1.0450011559037797,-2.171948938217383,2516.3199535609187,-0.03429943941632985
final,2.0,240965,3324.260177373886,1772726.8929242054,10261.917192383251,20687.08280761675,1789476.3370273844,9565.949169787957,21383.050830212043,0.9448406390196951,-6.782046761319272,3.3642637246999785,-2.3406765534790375,2516.331006236888,-0.033860350382863835
final,4.0,240965,3107.665558576584,1772726.8929242054,10261.917192383251,20687.08280761675,1795513.9227645984,9529.958343296163,21419.04165670384,1.2854224715237672,-7.132769007631179,3.5382410168416367,-2.175832352561813,2515.5575998362106,-0.06458542274591084
final,8.0,240965,3246.0821125507355,1772726.8929242054,10261.917192383251,20687.08280761675,1797538.0114245187,9517.450139759861,21431.549860240142,1.3996018562896673,-7.254658546416248,3.5987048514606768,-2.122712825728945,2515.8788495026865,-0.05182315540439575
final,16.0,240965,3298.7657113075256,1772726.8929242054,10261.917192383251,20687.08280761675,1798597.6418791823,9515.100627973126,21433.899372026877,1.4593758947438085,-7.277553993170372,3.6100622371713076,-2.0757504589702935,2516.625595619772,-0.022157214620632804
