route,n_legs,flow,bound_min,median_lines,share_of_bound
102,740,282.1640793406943,3103.8946861362674,2.0,0.33913292538295764
002,549,284.45704894088806,1361.5391960937939,3.0,0.14876238316243479
023,211,164.8619378835923,911.4771646577793,2.0,0.09958840377246801
007,471,220.563064575939,884.3906456837119,4.0,0.09662891856211407
034,619,265.8041276988626,552.8246651253604,2.0,0.06040187083189799
001,314,85.69007741847601,494.87294773082715,3.0,0.054070040200286267
006,224,76.28632568734439,440.16137240748816,2.0,0.04809222894445057
101,100,55.85570891258448,300.8561755289444,2.0,0.03287168066055324
073,35,12.72726946624388,190.9090419936582,2.0,0.02085880754348662
008,105,39.44422986400684,161.64370113502153,3.0,0.017661263276908007
021,57,13.397125753940927,134.85252547496398,2.0,0.01473404740949274
035,78,15.921968684491333,119.414765133685,2.0,0.013047310791371187
031,57,19.297013826349527,95.01285751043544,2.0,0.01038114742115109
004,42,10.898046526763485,86.2568788926812,2.0,0.009424465270660352
010,54,49.0283275187492,77.12979609228697,3.0,0.008427236110748615
024,17,12.907615389854623,68.02662164923383,2.0,0.007432619188681933
012,32,6.6212717668515735,52.84280100789987,2.0,0.005773628136058424
022,11,4.0449014295552415,38.09428918262804,2.0,0.004162199119896889
003,42,14.556492405724276,33.647106552375945,2.0,0.0036762979513275847
032,14,3.1946992182474516,23.960244136855888,2.0,0.0026179070196278753
011,3,0.6183288809511197,14.839893142826874,2.0,0.0016214133798985553
005,2,0.43798295734037646,3.2848721800528233,3.0,0.0003589066075296281
025,1,0.15458222023777993,2.5105082384481556,2.0,0.00027429925599787593
