iteration,n_paths,worst_flow_share_improvable,enum_seconds
0,217338,0.053019349483434244,7.152557373046875e-07
1,234429,0.024059069386339275,0.12603425979614258
2,239723,0.007315936170202821,2045.8348877429962
3,240965,0.006706160699938205,2551.0111248493195
