kind,n,spearman_within_kind,mean_rank_pattern,mean_rank_route,mean_rank_move,worst_rank_move,in_top10_pattern,in_top10_route
extend,12,0.9892823091721038,39.916666666666664,41.583333333333336,1.6666666666666667,5,0,0
reroute,12,0.9213992892015423,34.583333333333336,36.75,2.1666666666666665,11,0,0
splice,12,0.33572635196228773,9.916666666666666,6.5,-3.4166666666666665,43,10,10
straighten,12,0.9540792744059167,32.666666666666664,34.5,1.8333333333333333,15,0,0
truncate,12,0.6383188108170227,35.416666666666664,33.166666666666664,-2.25,38,0,0
