route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_trips,optimized_trips,baseline_veh_hours,optimized_veh_hours,veh_hours_change,demand_potential,runtime_min,direction
008,midday,15.0,24.0,9.0,48.0,30.0,78.68333333333334,49.177083333333336,-29.50625,798.8943219675575,98.35416666666667,less service
010,midday,15.0,24.0,9.0,48.0,30.0,66.63333333333334,41.645833333333336,-24.987500000000004,746.589892778323,83.29166666666667,less service
002,midday,14.4,20.0,5.6,50.0,36.0,75.5,54.36,-21.14,745.7786630938934,90.6,less service
008,pm_peak,15.0,30.0,15.0,24.0,12.0,39.53333333333333,19.766666666666666,-19.766666666666666,581.0140523400419,98.83333333333333,less service
008,am_peak,15.0,30.0,15.0,24.0,12.0,36.43333333333333,18.216666666666665,-18.216666666666665,532.5962146450385,91.08333333333333,less service
001,midday,15.0,20.0,5.0,48.0,36.0,71.45,53.5875,-17.862500000000004,912.8976416678966,89.3125,less service
010,pm_peak,15.0,30.0,15.0,24.0,12.0,34.45,17.225,-17.225,542.9744674751439,86.125,less service
002,pm_peak,15.652173913043478,30.0,14.347826086956522,23.0,12.0,35.93333333333333,18.747826086956522,-17.185507246376808,542.3844822501043,93.73913043478261,less service
010,am_peak,14.4,30.0,15.6,25.0,12.0,32.95,15.816,-17.134,497.72659518554866,79.08,less service
002,am_peak,15.0,30.0,15.0,24.0,12.0,32.733333333333334,16.366666666666667,-16.366666666666667,497.185775395929,81.83333333333333,less service
022,midday,22.5,40.0,17.5,32.0,18.0,35.71666666666667,20.090625,-15.62604166666667,234.22881188441826,66.96875,less service
101,midday,15.0,24.0,9.0,48.0,30.0,41.43333333333333,25.895833333333332,-15.537499999999998,362.3147099977427,51.791666666666664,less service
008,evening,16.0,24.0,8.0,30.0,20.0,46.333333333333336,30.888888888888893,-15.444444444444443,290.50702617002094,92.66666666666667,less service
022,pm_peak,15.652173913043478,40.0,24.347826086956523,23.0,9.0,23.6,9.234782608695651,-14.36521739130435,170.34822682503145,61.56521739130435,less service
034,midday,15.0,24.0,9.0,48.0,30.0,37.85,23.65625,-14.193750000000001,193.41400465140532,47.3125,less service
001,pm_peak,15.0,24.0,9.0,24.0,15.0,36.833333333333336,23.020833333333332,-13.812500000000004,663.925557576652,92.08333333333333,less service
006,midday,14.693877551020408,24.0,9.306122448979592,49.0,30.0,34.46666666666667,21.102040816326532,-13.364625850340136,229.57343310573756,42.204081632653065,less service
001,am_peak,15.0,24.0,9.0,24.0,15.0,33.233333333333334,20.770833333333332,-12.462500000000002,608.5984277785976,83.08333333333333,less service
007,midday,15.0,20.0,5.0,48.0,36.0,46.666666666666664,35.0,-11.666666666666664,629.4667127605195,58.333333333333336,less service
002,evening,15.0,20.0,5.0,32.0,24.0,43.85,32.8875,-10.962499999999999,271.19224112505213,82.21875,less service
101,pm_peak,15.0,30.0,15.0,24.0,12.0,21.233333333333334,10.616666666666667,-10.616666666666667,263.50160727108556,53.083333333333336,less service
034,pm_peak,15.0,30.0,15.0,24.0,12.0,20.833333333333332,10.416666666666666,-10.416666666666666,140.6647306555675,52.083333333333336,less service
007,pm_peak,15.0,24.0,9.0,24.0,15.0,26.25,16.40625,-9.84375,457.7939729167414,65.625,less service
001,evening,15.483870967741936,20.0,4.516129032258064,31.0,24.0,43.233333333333334,33.47096774193548,-9.762365591397852,331.962778788326,83.6774193548387,less service
022,am_peak,21.176470588235293,45.0,23.823529411764707,17.0,8.0,18.383333333333333,8.650980392156862,-9.73235294117647,156.15254125627882,64.88235294117646,less service
101,am_peak,15.0,30.0,15.0,24.0,12.0,19.433333333333334,9.716666666666667,-9.716666666666667,241.54313999849512,48.583333333333336,less service
101,evening,15.483870967741936,24.0,8.516129032258064,31.0,20.0,26.016666666666666,16.78494623655914,-9.231720430107526,131.75080363554278,50.354838709677416,less service
023,midday,15.0,20.0,5.0,48.0,36.0,36.45,27.3375,-9.112500000000004,333.8624075350091,45.5625,less service
010,evening,17.77777777777778,24.0,6.222222222222221,27.0,20.0,34.983333333333334,25.913580246913583,-9.069753086419752,271.48723373757196,77.74074074074075,less service
023,am_peak,15.0,30.0,15.0,24.0,12.0,17.733333333333334,8.866666666666667,-8.866666666666667,222.5749383566727,44.333333333333336,less service
034,evening,15.0,24.0,9.0,32.0,20.0,23.2,14.5,-8.7,70.33236532778375,43.5,less service
006,pm_peak,15.0,30.0,15.0,24.0,12.0,17.016666666666666,8.508333333333333,-8.508333333333333,166.9624968041728,42.541666666666664,less service
034,am_peak,15.0,30.0,15.0,24.0,12.0,16.933333333333334,8.466666666666667,-8.466666666666667,128.94266976760355,42.333333333333336,less service
022,evening,26.666666666666668,45.0,18.333333333333332,18.0,10.666666666666666,20.733333333333334,12.28641975308642,-8.446913580246914,85.17411341251572,69.11111111111111,less service
006,am_peak,14.4,30.0,15.6,25.0,12.0,16.066666666666666,7.712000000000001,-8.354666666666667,153.04895540382506,38.56,less service
023,evening,15.0,24.0,9.0,32.0,20.0,21.85,13.65625,-8.193750000000001,121.4045118309124,40.96875,less service
023,pm_peak,15.0,24.0,9.0,24.0,15.0,20.266666666666666,12.666666666666666,-7.6,242.8090236618248,50.666666666666664,less service
007,am_peak,15.0,20.0,5.0,24.0,18.0,22.85,17.1375,-5.712500000000002,419.6444751736796,57.125,less service
