config,band,n,mean_headway_change,veh_hours_change
A path,<=15,29,2.399999999999296,-57.9174166666188
A path,16-30,49,3.617528838846952,-41.064853322530624
A path,31-60,40,-5.552472527459432,59.64471916962715
A path,61-120,31,-4.419354838703393,7.353333333202365
A path,>120,24,-11.25,4.2
B path+class,<=15,29,3.193103448275158,-68.83083333328547
B path+class,16-30,49,2.34734790586736,-13.849172076761999
B path+class,31-60,40,-6.231043956034432,67.81217948712595
B path+class,61-120,31,-1.3548387096711354,5.8099999998690315
B path+class,>120,24,0.0,0.0
C path+class+crowd,<=15,29,2.744827586206193,-62.2609166666188
C path+class+crowd,16-30,49,2.3537457219081763,-15.48281659941333
C path+class+crowd,31-60,40,-6.088186813184433,64.81336996335378
C path+class+crowd,61-120,31,-1.3548387096711354,5.8099999998690315
C path+class+crowd,>120,24,0.0,0.0
